symbol,feed_id_hex,asset_type
Crypto.BAN/USD,0xa6320c8329924601f4d092dd3f562376f657fa0b5d0cba9e4385a24aaf135384,Crypto
Crypto.BAND/USD,0x5ab188823c117b3ac791391752f95fd701d923ccffa3436ecf7ba5d4bb4bd678,Crypto
Crypto.BAT/USD,0x8e860fb74e60e5736b455d82f60b3728049c348e94961add5f961b02fdee2535,Crypto
Crypto.BBHLP/USDC.RR,0xc9a2320d42eec4ba0fcfa753c97676330486854c27b4ee812bc4a9b4635e210d,Crypto Redemption Rate
Crypto.BBSOL/SOL.RR,0x7d9e2258cec229cf52873a8e58d035a276873c485d753860e56d248fb33ce68a,Crypto Redemption Rate
Crypto.BBSOL/USD,0x2997d5f9e96563cef9151cffc4580803930826fa38c4af5062de2363720769ea,Crypto
Crypto.BCH/USD,0x3dd2b63686a450ec7290df3a1e0b583c0481f651351edfa7636f39aed55cf8a3,Crypto
Crypto.BEAM/USD,0x3871d0ef1cf9e26005e4bbf7822f67a8883071a9d8a4e7a0125d2484cca7671f,Crypto
Crypto.BELIEVE/USD,0xc2b06e36d8676526e948c3add7506d61313b8890e97f8177f7fbe33d5b0d028f,Crypto
Crypto.BENJI/USD,0xcdeeb502653d7b57918b60014a9d753644b7458088a74d252d5fb36e755ee186,Crypto
Crypto.BERA/USD,0x962088abcfdbdb6e30db2e340c8cf887d9efb311b1f2f17b155a63dbb6d40265,Crypto
Crypto.BGB/USD,0x708bfcf418ead52a408407b039f2c33ce24ddc80d6dcb6d1cffef91c156c80fa,Crypto
Crypto.BIO/USD,0xd9d22050e7413a16129f1334cd4dd5a359975ce16389cdadae8f677cf46e2839,Crypto
Crypto.BITCOIN/USD,0xc5e0e0c92116c0c070a242b254270441a6201af680a33e0381561c59db3266c9,Crypto
Crypto.BLAST/USD,0x057345a7e9ef0f36dca8ad1c4e5788808b85f3084cc7b0d8cb29ac5012d88f0d,Crypto
Crypto.BLUE/USD,0x04cfeb7b143eb9c48e9b074125c1a3447b85f59c31164dc20c1beaa6f21f2b6b,Crypto
Crypto.BLUR/USD,0x856aac602516addee497edf6f50d39e8c95ae5fb0da1ed434a8c2ab9c3e877e9,Crypto
Crypto.BLZE/USD,0x93c3def9b169f49eed14c9d73ed0e942c666cf0e1290657ec82038ebb792c2a8,Crypto
Crypto.BMT/USD,0xa5fcd936b0178a425663f150dd87175bd8c374bff2ebc1e833ea73a67f721ca2,Crypto
Crypto.BMTON/TON.RR,0x9a10fcdb3a9f0f210effa27df802e385b370275eb96b02951c46f62b0e10776a,Crypto Redemption Rate
Crypto.BNB/USD,0x2f95862b045670cd22bee3114c39763a4a08beeb663b145d283c31d7d1101c4f,Crypto
Crypto.BNSOL/SOL.RR,0x72d61f850fe06047969e1f236a49f3c15c40823098b98ffa72f5b836a028ffa9,Crypto Redemption Rate
Crypto.BNSOL/USD,0x55f8289be7450f1ae564dd9798e49e7d797d89adbc54fe4f8c906b1fcb94b0c3,Crypto
Crypto.BOBA/USD,0xd1e9cff9b8399f9867819a3bf1aa8c2598234eecfd36ddc3a7bc7848432184b5,Crypto
Crypto.BODEN/USD,0x7bd87c3390d2c88d4699c7621fd857e0982027723751ce6e98bcc7604a407976,Crypto
Crypto.BOLD/USD,0xd6134dbb0427240f901e3e596d6e63f7d85088f96cd4cd4ae2f89c0819b5d623,Crypto
Crypto.BOME/USD,0x30e4780570973e438fdb3f1b7ad22618b2fc7333b65c7853a7ca144c39052f7a,Crypto
